Ticker,Setup Type,Date,Price,Change %,Volume,Avg Volume 20D,RSI,Prior RSI High,MA20,MA40,Distance to MA20 %,Red Candles,Near Support,Support Level,Distance to Support %,Range Position %,Hammer,Prior Support Hammers,Pattern Score,Refinement Score,Total Score,MACD Reversal,ADX Rising,RSI In Pullback Zone,Notes
OCFC,Uptrend Pullback,2026-08-07,19.42,-0.51,1142342,903635,42.26,73.72,19.65,19.22,-1.18,3,True,19.03,2.05,30.23,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 3 recent red candles; RSI was elevated before pullback; Near recent support
ONB,Uptrend Pullback,2026-08-07,26.56,-0.19,3338712,4926958,50.7,70.2,26.6,26.09,-0.14,4,True,25.73,3.23,50.92,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Near recent support
PAA,Uptrend Pullback,2026-08-07,22.81,-1.68,4416745,2554027,36.67,81.54,23.75,22.76,-3.97,3,True,22.65,0.71,8.12,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; Price in lower third of recent range; 3 recent red candles; RSI was elevated before pullback; Near recent support
RVLV,Uptrend Pullback,2026-08-07,24.27,-0.94,736238,917487,40.33,75.19,25.28,23.73,-4.0,4,True,23.86,1.72,11.78,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; Price in lower third of recent range; 4 recent red candles; RSI was elevated before pullback; Near recent support
SAFE,Uptrend Pullback,2026-08-07,16.29,1.94,259305,292915,48.67,69.14,16.45,16.09,-0.99,6,True,15.73,3.56,32.56,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 6 recent red candles; RSI was elevated before pullback; Near recent support
SAND,Uptrend Pullback,2025-10-17,12.12,-5.16,14508762,6317966,47.01,73.3,12.34,11.89,-1.77,3,True,11.68,3.77,31.21,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 3 recent red candles; RSI was elevated before pullback; Near recent support
SFB,Uptrend Pullback,2026-08-07,19.66,-0.05,8592,12983,42.25,63.83,19.7,19.62,-0.2,5,True,19.46,1.03,48.78,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Near recent support
SPTN,Uptrend Pullback,2025-09-22,26.9,0.0,0,824309,61.42,82.61,26.53,26.44,1.4,4,True,26.14,2.91,81.72,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Near recent support
TVC,Uptrend Pullback,2026-08-07,24.05,0.17,26779,12157,57.58,60.34,23.98,23.96,0.29,3,True,23.86,0.8,65.52,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 3 recent red candles; RSI was elevated before pullback; Near recent support
VRNA,Uptrend Pullback,2025-10-07,106.91,0.0,0,1457607,72.46,98.97,106.51,106.14,0.37,5,True,105.78,1.07,98.26,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Near recent support
WBA,Uptrend Pullback,2025-08-28,11.98,0.0,0,35941776,52.17,95.65,11.93,11.74,0.39,3,True,11.59,3.36,59.09,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 3 recent red candles; RSI was elevated before pullback; Near recent support
ZTO,Uptrend Pullback,2026-08-07,23.6,0.0,2499503,1840486,41.32,98.27,24.05,23.32,-1.85,5,True,23.39,0.9,15.11,False,0,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support
ATEC,Uptrend Pullback,2026-08-07,9.31,-0.32,2412786,2470216,62.75,55.47,9.1,8.98,2.27,3,False,8.01,16.23,54.62,True,0,60,,60,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 3 recent red candles; RSI was elevated before pullback; Latest candle looks like a hammer
CVBF,Uptrend Pullback,2026-08-07,22.66,-0.22,914839,1494648,53.7,71.9,22.67,22.21,-0.02,5,False,21.6,4.91,60.23,True,0,60,,60,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Latest candle looks like a hammer
EVCM,Uptrend Pullback,2026-08-07,10.92,1.58,127568,175630,39.77,82.1,11.61,10.55,-5.95,4,False,9.96,9.64,35.56,True,0,60,,60,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Latest candle looks like a hammer
GNW,Uptrend Pullback,2026-08-07,9.69,-0.1,2885732,2939654,26.97,81.16,9.89,9.56,-1.99,5,False,9.29,4.31,43.96,True,0,60,,60,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Latest candle looks like a hammer
AOMR,Uptrend Pullback,2026-08-07,9.0,1.12,91855,99197,55.03,80.0,8.89,8.56,1.24,6,False,8.38,7.4,67.39,False,1,60,,60,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 6 recent red candles; RSI was elevated before pullback; 1 prior hammer(s) at support
FCF,Uptrend Pullback,2026-08-07,21.51,1.32,1009708,919023,64.04,75.94,21.06,20.51,2.15,5,False,20.12,6.91,66.83,False,1,60,,60,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; 1 prior hammer(s) at support
